codigo_da_mantenedora,name,cnpj,nome_da_mantenedora,natureza_juridica_da_mantenedora,codigo_da_ies,sigla_da_ies,categoria_administrativa_da_ies,organizacao_academica_da_ies,sistema_de_ensino_da_ies,ies_comunitaria_sn,ies_confessional_sn,ies_filantropica_sn,logradouro,cep,codigo_do_municipio_ibge,municipio,uf,telefone,fax,e_mail,site,representante_legal,conceito_institucional_ci,ano_do_ci,indice_geral_de_cursos_igc,ano_do_igc,ato_de_credenciamento,data_do_ato_de_credenciamento,ato_de_recredenciamento,data_do_ato_de_recredenciamento
17026,BRAIN BUSINESS SCHOOL,28.929.707/0001-04,BRAIN EDUCACAO LTDA,Privada com fins lucrativos,23139,BRAIN,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"RUA JOAQUIM FLORIANO, 838, - DE 692 A 900 - LADO PAR, ITAIM BIBI",4534003,3550308,SÃO PAULO,SP,,,ricardo.mollo@brainpartners.com.br,,RICARDO RAMOS DA SILVA MOLLO,4,2019,,,1930 de 05/11/2019.,6/11/2019,,
1073,CASTELLI ESCOLA SUPERIOR DE HOTELARIA,91.458.992/0001-50,CETH CENTRO DE ESTUDOS TURISTICOS E HOTELEIROS LTDA,Privada com fins lucrativos,1636,CASTELLI ESH,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA OSVALDO ARANHA, 994, CENTRO",95680000,4304408,CANELA,RS,47988014075,47 988014075,faculdade@imontepascoal.com,www.castelli.edu.br,GERALDO CASTELLI,4,2015,2,2011,2.167*,28/12/2000,1200 de 26/10/2016,28/10/2016
774,CENTRO DE EDUCAÇÃO SUPERIOR DE BLUMENAU,03.170.731/0001-73,SOCIEDADE EDUCACIONAL DR. BLUMENAU LTDA,Privada com fins lucrativos,1138,CESBLU,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA CAPITÃO SANTOS, 145, GARCIA",89020060,4202404,BLUMENAU,SC,(47) 33274208,,secretariageral@cesblu.br,www.cesblu.br,ANTONIO JOSÉ ORTIZ SUMAN,,,3,2008,692,9/7/1998,,
31,CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG,17.319.831/0001-23,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS,Pessoa Jurídica de Direito Público - Estadual,31,UTRAMIG,PÚBLICA ESTADUAL,FACULDADE,E,N,N,,"AVENIDA AFONSO PENA, 3400, CRUZEIRO",30130009,3106200,BELO HORIZONTE,MG,,,cet.utramig@yahoo.com.br,www.utramig.mg.gov.br,,,,,,72121,24/4/1973,,
17401,CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA,54.675.103/0001-80,FIEC FUNDACAO INDAIATUBANA DE EDUCACAO E CULTURA,Pessoa Jurídica de Direito Público - Municipal,24462,FIEC,PÚBLICA MUNICIPAL,FACULDADE,E,N,N,,"AVENIDA ENGENHEIRO FÁBIO ROBERTO BARNABÉ, JARDIM REGINA",13349003,3520509,INDAIATUBA,SP,0019 3801-8688,,academica@fiec.com.br,www.fiec.com.br,MARIO CESAR COBIANCHI,,,,,CEE 278/2015,4/6/2015,,
17020,CENTRO DE ENSINO E PESQUISA DO PRÓ-CARDÍACO,39.420.179/0001-71,PROCEP - CENTRO DE ENSINO E PESQUISA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,22930,Procep,PRIVADA SEM FINS LUCRATIVOS,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,F,N,N,,"RUA VOLUNTÁRIOS DA PÁTRIA, 435, BOTAFOGO",22270005,3304557,RIO DE JANEIRO,RJ,,,msalvador@signoinvestimentos.com.br,,MARCIO ALEXANDRE SALVADOR DA SILVA,,,,,2170,20/6/2005,,
57,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,11.462.454/0001-09,AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE,Pessoa Jurídica de Direito Público - Municipal,73,CESA,ESPECIAL,FACULDADE,E,N,N,,"RUA GUMERCINDO CAVALCANTI, 420, PREDIO, SÃO CRISTOVÃO",56512902,2601201,ARCOVERDE,PE,(87)3821-0644 / (87)9927-4392,(87) 3821 1579,direcaocesa@hotmail.com,www.aesa-cesa.br,ROBERTO SALOMAO COELHO DA SILVA,,,2,2018,1169,7/8/1969,72,15/2/1990
16269,CENTRO DE ENSINO SUPERIOR DE BACABEIRA,04.510.265/0001-90,ESCOLA TECNICA DE BACABEIRA LTDA - ME,Privada com fins lucrativos,19842,CESBA,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA DOS BACURIZEIROS, BAIRRO NOVA BACABEIRA - BACABEIRA - MARANHÃO, 13, CENTRO",65143970,2101251,BACABEIRA,MA,(98)3346-1042,,nubiaetecba@hotmail.com,,NUBIA COSTA BASTOS,3,2016,,,1121,5/11/2018,,
14298,CENTRO DE ENSINO SUPERIOR DE CATALÃO,08.446.503/0001-05,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada com fins lucrativos,23179,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,,,,,,31 33199226,,regulatorio@animaeducacao.com.br,,ATILA SIMOES DA CUNHA,,,,,,,,
77,CENTRO DE ENSINO SUPERIOR DE CONSELHEIRO LAFAIETE,19.722.313/0001-81,FUNDACAO MUNICIPAL DE ENSINO SUPERIOR DE CONS LAFAIETE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3488,CES-CL,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA LOPES FRANCO, 1001, CARIJÓS",36400000,3118304,CONSELHEIRO LAFAIETE,MG,31 3762-0840,,ces@ces-cl.edu.br,www.ces-cl.edu.br,ROGERIO BATISTA EVANGELISTA,3,2015,3,2018,41.036,10/5/2000,,
14298,CENTRO DE ENSINO SUPERIOR DE CONTAGEM,08.446.503/0001-05,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada com fins lucrativos,23162,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,,,,,,(31) 3319-9226,,regulatorio@animaeducacao.com.br,,ATILA SIMOES DA CUNHA,5,2019,,,,,,
14298,CENTRO DE ENSINO SUPERIOR DE DIVINÓPOLIS,08.446.503/0001-05,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada com fins lucrativos,23164,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,,,,,,(31) 3319-9226,,regulatorio@animaeducacao.com.br,,ATILA SIMOES DA CUNHA,4,2019,,,,,,
1804,CENTRO DE ENSINO SUPERIOR DE ILHÉUS,04.245.712/0001-21,CESUPI CENTRO DE ENSINO SUPERIOR DE ILHEUS LTDA - ME,Privada com fins lucrativos,2771,CESUPI,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA TANCREDO NEVES, S/N, KM 2,5, SÃO FRANCISCO",45655120,2913606,ILHÉUS,BA,(73) 2101-1700,(73) 2101-1709,milanesi@faculdadedeilheus.com.br,www.faculdadedeilheus.com.br,ALMIR MILANESI,4,2016,3,2018,2.014,19/7/2002,382 de 20/03/2017,21/3/2017
511,CENTRO DE ENSINO SUPERIOR DE JATAÍ,00.079.285/0001-06,ASSOCIACAO JATAIENSE DE EDUCACAO,Privada com fins lucrativos,755,CESUT,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA SANTOS DUMONT, 1.200, SETOR OESTE",75804045,5211909,JATAÍ,GO,(64) 2102-1050,(64) 2102-1069,cesut@cesut.edu.br,www.cesut.edu.br,EVARISTO ANANIA DE PAULA,3,2018,3,2018,91083,13/3/1985,1492 de 28/08/2019.,29/8/2019
14298,CENTRO DE ENSINO SUPERIOR DE NOVA SERRANA,08.446.503/0001-05,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada com fins lucrativos,23174,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,,,,,,31 3319-9226,,"regulatorio@animaeducacao.com,br",,ATILA SIMOES DA CUNHA,4,2019,,,,,,
770,CENTRO DE ENSINO SUPERIOR DE PALMAS,37.174.034/0001-02,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,Privada sem fins lucrativos,21892,CESUP,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"QUADRA 1102 SUL AVENIDA JOAQUIM TEOTÔNIO SEGURADO, S/N, CONJUNTO 1, LOTES 01 E 02, PLANO DIRETOR SUL",77024002,1721000,PALMAS,TO,(63)99282-1986,,pesquisador@ceuma.br;diretoria@cesup.edu.br;ntae@ceuma.br,www.cesup.edu.br,LUCIANA FECURY TAVARES,4,2017,,,487 de 22/05/2018,23/5/2018,,
14298,CENTRO DE ENSINO SUPERIOR DE SETE LAGOAS,08.446.503/0001-05,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada com fins lucrativos,23178,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,,,,,,,,regulatorio@animaeducacao.com.br,,ATILA SIMOES DA CUNHA,5,2019,,,,,,
3484,CENTRO DE ENSINO SUPERIOR DE UBERABA,19.062.231/0001-58,ASSOCIACAO EDUCACIONAL DR. ODILON FERNANDES,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4166,CESUBE,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA DOUTOR RANDOLFO BORGES JÚNIOR, 1250, UNIVERDECIDADE",38064200,3170107,UBERABA,MG,(34) 3331-5555,(34) 3331-5555,,www.cesube.edu.br,WELLINGTON GUIMARAES,3,2017,3,2018,41256,20/1/2001,s/n,31/8/2004
794,CENTRO DE ENSINO SUPERIOR DE VITÓRIA,36.347.508/0001-08,UNIAO CAPIXABA DE ENSINO SUPERIOR LTDA - UCES,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1159,CESV,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA DOUTOR EURICO DE AGUIAR, 1003, - DE 371 AO FIM - LADO ÍMPAR, SANTA LÚCIA",29056205,3205309,VITÓRIA,ES,(27) 3041 0111,(27) 3041 0111,monica.ferre@yahoo.com.br;hellenr@cesv.br,www.cesv.br,LIVIO SANTOS LIMA,3,2015,2,2018,804,29/7/1998,,
600,CENTRO DE ENSINO SUPERIOR DO AMAPÁ,04.661.922/0001-09,ASSOCIACAO AMAPAENSE DE ENSINO E CULTURA,Privada com fins lucrativos,861,CEAP,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RODOVIA DE DUCA SERRA, S/N, - ATÉ KM 0,003, ALVORADA",68906698,1600303,MACAPÁ,AP,(96) 3261 2133 / (96)98133-0129,,ceap@ceap.br,www.ceap.br,EDSON RAYMUNDO PINHEIRO DE SOUZA FRANCO,3,2014,3,2018,98.842,18/1/1990,355 de 14/03/2017,15/3/2017
770,CENTRO DE ENSINO SUPERIOR DO TOCANTINS,37.174.034/0001-02,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,Privada sem fins lucrativos,22131,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"QUADRA 1102 SUL AVENIDA JOAQUIM TEOTÔNIO SEGURADO, S/N, CONJUNTO 1, LOTES 01 E 02, PLANO DIRETOR SUL",77024002,1721000,PALMAS,TO,4020-7525,,ntae@ceuma.br;pesquisador@ceuma.br,www.cesut-to.com.br,LUCIANA FECURY TAVARES,3,2018,,,1,10/12/2018,,
505,CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA,05.804.208/0001-87,ASSOCIACAO PIAUIENSE DE EDUCACAO E CULTURA LTDA - APEC,Privada com fins lucrativos,749,CESVALE,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA ININGA, 1201, SHOPPING RIVERSIDE, ANDAR 1, JOCKEY CLUB",64048971,2211001,TERESINA,PI,(86) 3230 2402,(86) 3221 4840,"cesvale@cesvale.com.br, airton@cesvale.com.br",www.cesvale.com.br,JOSÉ AIRTON VERAS SOARES,4,2019,4,2018,91414,10/7/1985,715 de 14/07/2015,15/7/2015
446,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,10.264.877/0001-43,AUTARQUIA BELEMITA DE CULTURA DESPORTOS E EDUCACAO,Pessoa Jurídica de Direito Público - Municipal,674,CESVASF,ESPECIAL,FACULDADE,E,N,N,,"BR 316 - CAMPUS ALTO DO ENCANTO, S/N, NOVA OLINDA",56440000,2601607,BELÉM DE SÃO FRANCISCO,PE,(87)38761248,(87)38761248,secretaria@cesvasf.com.br,www.cesvasf.com.br,ANA GLEIDE DE SOUZA LEAL SÁ,,,3,2018,04,15/3/1975,13,8/12/1984
16439,CENTRO DE ENSINO SUPERIOR RIOGRANDENSE GUAPORE,21.669.095/0001-00,SOCIEDADE EDUCACIONAL GUAPORE LTDA - ME,Privada com fins lucrativos,20534,CESURG Guapore,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"AVENIDA SCALABRINI, 40, CENTRO",99200000,4309407,GUAPORÉ,RS,54 9 84160013,,sec@cesurg.com.br,www.cesurg.com.br,RAFAEL ROSSETTO,3,2018,,,1863 de 25/10/2019.,30/10/2019,,
15927,CENTRO DE ENSINO SUPERIOR RIOGRANDESE,17.000.211/0001-27,SOCIEDADE EDUCACIONAL SARANDI  LTDA,Privada com fins lucrativos,18034,CESURG,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RODOVIA GOVERNADOR LEONEL DE MOURA BRIZOLA, KM 38, INTERIOR, LINHA BEIRA CAMPO",99560000,4320107,SARANDI,RS,,,sec@cesurg.com.br,www.cesurg.com.br,UILIAM RICARDO TREMEA,3,2015,,,544 de 21/06/2016,22/6/2016,,
14298,CENTRO DE ENSINO SUPERIOR SOCIESC DE SÃO BENTO DO SUL,08.446.503/0001-05,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada com fins lucrativos,23203,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,,,,,,,,regulatorio@animaeducacao.com.br,,ATILA SIMOES DA CUNHA,,,,,,,,
770,CENTRO DE ENSINO UNIFICADO DO PIAUÍ,37.174.034/0001-02,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,Privada sem fins lucrativos,15508,CEUPI,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA DURVALINO COUTO, 1220, CENTRO DE ENSINO UNIFICADO DO PIAUÍ - CEUPI, JOCKEY CLUB",64049120,2211001,TERESINA,PI,(86)98884-9776;(86),,pesquisador@ceuma.br;ntae@ceuma.br;mantenedora@ceuma.br,www.ceupi.com.br,LUCIANA FECURY TAVARES,3,2015,3,2018,1 de 03/01/2012,4/1/2012,1280 de 17/11/2016,18/11/2016
16500,CENTRO DE ESTUDOS DE PESSOAL E FORTE DUQUE DE CAXIAS,00.394.452/0270-52,COMANDO DO EXERCITO,Pessoa Jurídica de Direito Público - Federal,21414,CEP,PÚBLICA FEDERAL,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,M,N,N,,"PRAÇA ALMIRANTE JÚLIO DE NORONHA, SN, FORTE DUQUE DE CAXIAS, LEME",22010020,3304557,RIO DE JANEIRO,RJ,,,divens_secretaria@cep.ensino.eb.br,www.cep.ensino.eb.br,JOAO DE AZEVEDO,,,,,614,14/11/2000,,
16400,CENTRO DE ESTUDOS EM DIREITO E NEGÓCIOS,07.808.205/0001-47,CEDIN EDUCACIONAL LTDA - ME,Privada com fins lucrativos,22629,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"ALAMEDA EZEQUIEL DIAS, 275, CENTRO",30130110,3106200,BELO HORIZONTE,MG,,,,,LEONARDO NEMER CALDEIRA BRANT,4,2018,,,2059 de 26/11/2019.,27/11/2019,,
1296,CENTRO DE ESTUDOS SUPERIORES APRENDIZ,03.517.381/0001-79,CENTRO EDUCACIONAL APRENDIZ LTDA - ME,Privada com fins lucrativos,1977,CESA,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA BIAS FORTES, 02, CENTRO",36200068,3105608,BARBACENA,MG,(32) 3339 6850,(32) 3339 6850,rafanascimento2112@hotmail.com,www.aprendiz.edu.br,CRISTIANE MARA NASCIMENTO,,,3,2018,215,29/1/2002,,
14298,CENTRO DE ESTUDOS SUPERIORES DE JATAÍ,08.446.503/0001-05,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada com fins lucrativos,23168,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,,,,,,31 3319-9226,,regulatorio@animaeducacao.com.br,,ATILA SIMOES DA CUNHA,4,2019,,,,,,
13234,"CENTRO DE FORMAÇÃO, TREINAMENTO E APERFEIÇOAMENTO",00.530.352/0001-59,CAMARA DOS DEPUTADOS,Pessoa Jurídica de Direito Público - Federal,17161,Cefor,PÚBLICA FEDERAL,ESCOLA DE GOVERNO,F,N,N,,"SGMN VIA N3, PROJEÇÃO L, COMPLEXO AVANÇADO DA CÂMARA DOS DEPUTADOS, -, PRÉDIO DO CEFOR, SALA 2, PLANO PILOTO",70160900,5300108,BRASÍLIA,DF,(61)32167500,(61)32167515,cefor@camara.leg.br,http://www2.camara.gov.br/responsabilidade-social/edulegislativa,SÉRGIO SAMPAIO CONTREIRAS DE ALMEIDA,4,2015,,,,,,
16500,CENTRO DE INSTRUÇÃO DE AVIAÇÃO DO EXÉRCITO,00.394.452/0270-52,COMANDO DO EXERCITO,Pessoa Jurídica de Direito Público - Federal,21416,CIAvEx,PÚBLICA FEDERAL,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,M,N,N,,"COMPLEXO DE AVIAÇÃO DO EXÉRCITO - CAVEX, 2.135, ESTRADA MUNICIPAL DOS REMÉDIOS, BAIRRO ITAIM, GRANJAS RURAIS REUNIDAS SÃO JUDAS TADEU",1208690,3554102,TAUBATÉ,SP,,,ciavex.srp.ch@avex.eb.mil.br,www.ciavex.ensino.eb.br,JOAO DE AZEVEDO,,,,,614,14/11/2000,,
16500,CENTRO DE INSTRUÇÃO DE GUERRA ELETRÔNICA,00.394.452/0270-52,COMANDO DO EXERCITO,Pessoa Jurídica de Direito Público - Federal,21417,CIGE,PÚBLICA FEDERAL,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,M,N,N,,"ACADEMIA NACIONAL DE POLÍCIA FEDERAL, KM 05, ESTRADA PARQUE DO CONTORNO, RV DF-001, KM 05 , SETOR HABITACIONAL TAQUARI (LAGO NORTE)",7155990,5300108,BRASÍLIA,DF,,,cigecmt@cige.eb.mil.br,www.ccomgex.eb.mil.br,JOAO DE AZEVEDO,,,,,614,14/11/2000,,
16981,"CENTRO DE MEDICINA ESPECIALIZADA, PESQUISA E ENSINO",07.111.764/0001-01,"CEMEPE - CENTRO DE MEDICINA ESPECIALIZADA, PESQUISA E ENSINO LTDA.",Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,22685,CEMEPE,PRIVADA COM FINS LUCRATIVOS,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,F,N,N,,"RUA EDGARD COELHO, 100, SERRA",30220050,3106200,BELO HORIZONTE,MG,(31)3221-6642 e (31) 99992-1020,,cemepe2006@hotmail.com,www.cemepemg.com.br,SANDRA LYON,,,,,,,,
16655,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,42.441.758/0001-05,CENTRO FED DE ED TECNOLOGICA CELSO SUCKOW DA FONSECA RJ,Pessoa Jurídica de Direito Público - Federal,593,CEFET/RJ,PÚBLICA FEDERAL,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA,F,N,N,,"AVENIDA MARACANÃ, 229, MARACANÃ",20271110,3304557,RIO DE JANEIRO,RJ,(21) 2568 8890,(21) 2204 0978,marcelo.nogueira@cefet-rj.br,www.cefet-rj.br,MARCELO DE SOUSA NOGUEIRA,3,2011,4,2018,6545,4/7/1978,626 de 22/07/2014,23/7/2014
16596,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,17.220.203/0001-96,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,Pessoa Jurídica de Direito Público - Federal,594,CEFET/MG,PÚBLICA FEDERAL,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA,F,N,N,,"AVENIDA AMAZONAS, 5253, NOVA SUIÇA",30480000,3106200,BELO HORIZONTE,MG,(31) 3319 7006,(31) 3319 7009,gabinete@adm.cefetmg.br; dirgrad@adm.cefetmg.br; carolinariente@cefetmg.br; isabella@cefetmg.br,www.cefetmg.br,FLÁVIO ANTÔNIO DOS SANTOS,5,2020,4,2018,6545,4/7/1978,632 de 22/07/2014,23/7/2014
179,CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL,54.228.416/0001-90,FUNDACAO PINHALENSE DE ENSINO,Privada sem fins lucrativos,1230,UNIPINHAL,PRIVADA SEM FINS LUCRATIVOS,CENTRO UNIVERSITÁRIO,F,N,N,,"AVENIDA HÉLIO VERGUEIRO LEITE, S/N, JARDIM UNIVERSITÁRIO",13990000,3515186,ESPÍRITO SANTO DO PINHAL,SP,19-3651-9600;3651-9647,19-3651-9616,,www.unipinhal.edu.br,JOÃO BATISTA DETORE,3,2017,3,2018,59.406,27/10/1966,s/n,24/2/1999
